gs1dm	K	P
item00000823	box00000021	pallete00000002
item00000824	box00000021	pallete00000002
item00000825	box00000021	pallete00000002
item00000826	box00000021	pallete00000002
item00000827	box00000021	pallete00000002
item00000828	box00000021	pallete00000002
item00000829	box00000021	pallete00000002
item00000830	box00000021	pallete00000002
item00000831	box00000021	pallete00000002
item00000832	box00000021	pallete00000002
item00000833	box00000021	pallete00000002
item00000834	box00000021	pallete00000002
item00000835	box00000021	pallete00000002
item00000836	box00000021	pallete00000002
item00000837	box00000021	pallete00000002
item00000838	box00000021	pallete00000002
item00000839	box00000021	pallete00000002
item00000840	box00000021	pallete00000002
item00000841	box00000022	pallete00000002
item00000842	box00000022	pallete00000002
item00000843	box00000022	pallete00000002
item00000844	box00000022	pallete00000002
item00000845	box00000022	pallete00000002
item00000846	box00000022	pallete00000002
item00000847	box00000022	pallete00000002
item00000848	box00000022	pallete00000002
item00000849	box00000022	pallete00000002
item00000850	box00000022	pallete00000002
item00000851	box00000022	pallete00000002
item00000852	box00000022	pallete00000002
item00000853	box00000022	pallete00000002
item00000854	box00000022	pallete00000002
item00000855	box00000022	pallete00000002
item00000856	box00000022	pallete00000002
item00000857	box00000022	pallete00000002
item00000858	box00000022	pallete00000002
item00000859	box00000022	pallete00000002
item00000860	box00000022	pallete00000002
item00000861	box00000022	pallete00000002
item00000862	box00000022	pallete00000002
item00000863	box00000022	pallete00000002
item00000864	box00000022	pallete00000002
item00000865	box00000022	pallete00000002
item00000866	box00000022	pallete00000002
item00000867	box00000022	pallete00000002
item00000868	box00000022	pallete00000002
item00000869	box00000022	pallete00000002
item00000870	box00000022	pallete00000002
item00000871	box00000022	pallete00000002
item00000872	box00000022	pallete00000002
item00000873	box00000022	pallete00000002
item00000874	box00000022	pallete00000002
item00000875	box00000022	pallete00000002
item00000876	box00000022	pallete00000002
item00000877	box00000022	pallete00000002
item00000878	box00000022	pallete00000002
item00000879	box00000022	pallete00000002
item00000880	box00000022	pallete00000002
item00000881	box00000023	pallete00000002
item00000882	box00000023	pallete00000002
item00000883	box00000023	pallete00000002
item00000884	box00000023	pallete00000002
item00000885	box00000023	pallete00000002
item00000886	box00000023	pallete00000002
item00000887	box00000023	pallete00000002
item00000888	box00000023	pallete00000002
item00000889	box00000023	pallete00000002
item00000890	box00000023	pallete00000002
item00000891	box00000023	pallete00000002
item00000892	box00000023	pallete00000002
item00000893	box00000023	pallete00000002
item00000894	box00000023	pallete00000002
item00000895	box00000023	pallete00000002
item00000896	box00000023	pallete00000002
item00000897	box00000023	pallete00000002
item00000898	box00000023	pallete00000002
item00000899	box00000023	pallete00000002
item00000900	box00000023	pallete00000002
item00000901	box00000023	pallete00000002
item00000902	box00000023	pallete00000002
item00000903	box00000023	pallete00000002
item00000904	box00000023	pallete00000002
item00000905	box00000023	pallete00000002
item00000906	box00000023	pallete00000002
item00000907	box00000023	pallete00000002
item00000908	box00000023	pallete00000002
item00000909	box00000023	pallete00000002
item00000910	box00000023	pallete00000002
item00000911	box00000023	pallete00000002
item00000912	box00000023	pallete00000002
item00000913	box00000023	pallete00000002
item00000914	box00000023	pallete00000002
item00000915	box00000023	pallete00000002
item00000916	box00000023	pallete00000002
item00000917	box00000023	pallete00000002
item00000918	box00000023	pallete00000002
item00000919	box00000023	pallete00000002
item00000920	box00000023	pallete00000002
item00000921	box00000024	pallete00000002
item00000922	box00000024	pallete00000002
item00000923	box00000024	pallete00000002
item00000924	box00000024	pallete00000002
item00000925	box00000024	pallete00000002
item00000926	box00000024	pallete00000002
item00000927	box00000024	pallete00000002
item00000928	box00000024	pallete00000002
item00000929	box00000024	pallete00000002
item00000930	box00000024	pallete00000002
item00000931	box00000024	pallete00000002
item00000932	box00000024	pallete00000002
item00000933	box00000024	pallete00000002
item00000934	box00000024	pallete00000002
item00000935	box00000024	pallete00000002
item00000936	box00000024	pallete00000002
item00000937	box00000024	pallete00000002
item00000938	box00000024	pallete00000002
item00000939	box00000024	pallete00000002
item00000940	box00000024	pallete00000002
item00000941	box00000024	pallete00000002
item00000942	box00000024	pallete00000002
item00000943	box00000024	pallete00000002
item00000944	box00000024	pallete00000002
item00000945	box00000024	pallete00000002
item00000946	box00000024	pallete00000002
item00000947	box00000024	pallete00000002
item00000948	box00000024	pallete00000002
item00000949	box00000024	pallete00000002
item00000950	box00000024	pallete00000002
item00000951	box00000024	pallete00000002
item00000952	box00000024	pallete00000002
item00000953	box00000024	pallete00000002
item00000954	box00000024	pallete00000002
item00000955	box00000024	pallete00000002
item00000956	box00000024	pallete00000002
item00000957	box00000024	pallete00000002
item00000958	box00000024	pallete00000002
item00000959	box00000024	pallete00000002
item00000960	box00000024	pallete00000002
item00000961	box00000025	pallete00000002
item00000962	box00000025	pallete00000002
item00000963	box00000025	pallete00000002
item00000964	box00000025	pallete00000002
item00000965	box00000025	pallete00000002
item00000966	box00000025	pallete00000002
item00000967	box00000025	pallete00000002
item00000968	box00000025	pallete00000002
item00000969	box00000025	pallete00000002
item00000970	box00000025	pallete00000002
item00000971	box00000025	pallete00000002
item00000972	box00000025	pallete00000002
item00000973	box00000025	pallete00000002
item00000974	box00000025	pallete00000002
item00000975	box00000025	pallete00000002
item00000976	box00000025	pallete00000002
item00000977	box00000025	pallete00000002
item00000978	box00000025	pallete00000002
item00000979	box00000025	pallete00000002
item00000980	box00000025	pallete00000002
item00000981	box00000025	pallete00000002
item00000982	box00000025	pallete00000002
item00000983	box00000025	pallete00000002
item00000984	box00000025	pallete00000002
item00000985	box00000025	pallete00000002
item00000986	box00000025	pallete00000002
item00000987	box00000025	pallete00000002
item00000988	box00000025	pallete00000002
item00000989	box00000025	pallete00000002
item00000990	box00000025	pallete00000002
item00000991	box00000025	pallete00000002
item00000992	box00000025	pallete00000002
item00000993	box00000025	pallete00000002
item00000994	box00000025	pallete00000002
item00000995	box00000025	pallete00000002
item00000996	box00000025	pallete00000002
item00000997	box00000025	pallete00000002
item00000998	box00000025	pallete00000002
item00000999	box00000025	pallete00000002
item00001000	box00000025	pallete00000002
item00001001	box00000026	pallete00000002
item00001002	box00000026	pallete00000002
item00001003	box00000026	pallete00000002
item00001004	box00000026	pallete00000002
item00001005	box00000026	pallete00000002
item00001006	box00000026	pallete00000002
item00001007	box00000026	pallete00000002
item00001008	box00000026	pallete00000002
item00001009	box00000026	pallete00000002
item00001010	box00000026	pallete00000002
item00001011	box00000026	pallete00000002
item00001012	box00000026	pallete00000002
item00001013	box00000026	pallete00000002
item00001014	box00000026	pallete00000002
item00001015	box00000026	pallete00000002
item00001016	box00000026	pallete00000002
item00001017	box00000026	pallete00000002
item00001018	box00000026	pallete00000002
item00001019	box00000026	pallete00000002
item00001020	box00000026	pallete00000002
item00001021	box00000026	pallete00000002
item00001022	box00000026	pallete00000002
item00001023	box00000026	pallete00000002
item00001024	box00000026	pallete00000002
item00001025	box00000026	pallete00000002
item00001026	box00000026	pallete00000002
item00001027	box00000026	pallete00000002
item00001028	box00000026	pallete00000002
item00001029	box00000026	pallete00000002
item00001030	box00000026	pallete00000002
item00001031	box00000026	pallete00000002
item00001032	box00000026	pallete00000002
item00001033	box00000026	pallete00000002
item00001034	box00000026	pallete00000002
item00001035	box00000026	pallete00000002
item00001036	box00000026	pallete00000002
item00001037	box00000026	pallete00000002
item00001038	box00000026	pallete00000002
item00001039	box00000026	pallete00000002
item00001040	box00000026	pallete00000002
item00001041	box00000027	pallete00000002
item00001042	box00000027	pallete00000002
item00001043	box00000027	pallete00000002
item00001044	box00000027	pallete00000002
item00001045	box00000027	pallete00000002
item00001046	box00000027	pallete00000002
item00001047	box00000027	pallete00000002
item00001048	box00000027	pallete00000002
item00001049	box00000027	pallete00000002
item00001050	box00000027	pallete00000002
item00001051	box00000027	pallete00000002
item00001052	box00000027	pallete00000002
item00001053	box00000027	pallete00000002
item00001054	box00000027	pallete00000002
item00001055	box00000027	pallete00000002
item00001056	box00000027	pallete00000002
item00001057	box00000027	pallete00000002
item00001058	box00000027	pallete00000002
item00001059	box00000027	pallete00000002
item00001060	box00000027	pallete00000002
item00001061	box00000027	pallete00000002
item00001062	box00000027	pallete00000002
item00001063	box00000027	pallete00000002
item00001064	box00000027	pallete00000002
item00001065	box00000027	pallete00000002
item00001066	box00000027	pallete00000002
item00001067	box00000027	pallete00000002
item00001068	box00000027	pallete00000002
item00001069	box00000027	pallete00000002
item00001070	box00000027	pallete00000002
item00001071	box00000027	pallete00000002
item00001072	box00000027	pallete00000002
item00001073	box00000027	pallete00000002
item00001074	box00000027	pallete00000002
item00001075	box00000027	pallete00000002
item00001076	box00000027	pallete00000002
item00001077	box00000027	pallete00000002
item00001078	box00000027	pallete00000002
item00001079	box00000027	pallete00000002
item00001080	box00000027	pallete00000002
item00001081	box00000028	pallete00000002
item00001082	box00000028	pallete00000002
item00001083	box00000028	pallete00000002
item00001084	box00000028	pallete00000002
item00001085	box00000028	pallete00000002
item00001086	box00000028	pallete00000002
item00001087	box00000028	pallete00000002
item00001088	box00000028	pallete00000002
item00001089	box00000028	pallete00000002
item00001090	box00000028	pallete00000002
item00001091	box00000028	pallete00000002
item00001092	box00000028	pallete00000002
item00001093	box00000028	pallete00000002
item00001094	box00000028	pallete00000002
item00001095	box00000028	pallete00000002
item00001096	box00000028	pallete00000002
item00001097	box00000028	pallete00000002
item00001098	box00000028	pallete00000002
item00001099	box00000028	pallete00000002
item00001100	box00000028	pallete00000002
item00001101	box00000028	pallete00000002
item00001102	box00000028	pallete00000002
item00001103	box00000028	pallete00000002
item00001104	box00000028	pallete00000002
item00001105	box00000028	pallete00000002
item00001106	box00000028	pallete00000002
item00001107	box00000028	pallete00000002
item00001108	box00000028	pallete00000002
item00001109	box00000028	pallete00000002
item00001110	box00000028	pallete00000002
item00001111	box00000028	pallete00000002
item00001112	box00000028	pallete00000002
item00001113	box00000028	pallete00000002
item00001114	box00000028	pallete00000002
item00001115	box00000028	pallete00000002
item00001116	box00000028	pallete00000002
item00001117	box00000028	pallete00000002
item00001118	box00000028	pallete00000002
item00001119	box00000028	pallete00000002
item00001120	box00000028	pallete00000002
item00001121	box00000029	pallete00000002
item00001122	box00000029	pallete00000002
item00001123	box00000029	pallete00000002
item00001124	box00000029	pallete00000002
item00001125	box00000029	pallete00000002
item00001126	box00000029	pallete00000002
item00001127	box00000029	pallete00000002
item00001128	box00000029	pallete00000002
item00001129	box00000029	pallete00000002
item00001130	box00000029	pallete00000002
item00001131	box00000029	pallete00000002
item00001132	box00000029	pallete00000002
item00001133	box00000029	pallete00000002
item00001134	box00000029	pallete00000002
item00001135	box00000029	pallete00000002
item00001136	box00000029	pallete00000002
item00001137	box00000029	pallete00000002
item00001138	box00000029	pallete00000002
item00001139	box00000029	pallete00000002
item00001140	box00000029	pallete00000002
item00001141	box00000029	pallete00000002
item00001142	box00000029	pallete00000002
item00001143	box00000029	pallete00000002
item00001144	box00000029	pallete00000002
item00001145	box00000029	pallete00000002
item00001146	box00000029	pallete00000002
item00001147	box00000029	pallete00000002
item00001148	box00000029	pallete00000002
item00001149	box00000029	pallete00000002
item00001150	box00000029	pallete00000002
item00001151	box00000029	pallete00000002
item00001152	box00000029	pallete00000002
item00001153	box00000029	pallete00000002
item00001154	box00000029	pallete00000002
item00001155	box00000029	pallete00000002
item00001156	box00000029	pallete00000002
item00001157	box00000029	pallete00000002
item00001158	box00000029	pallete00000002
item00001159	box00000029	pallete00000002
item00001160	box00000029	pallete00000002
item00001161	box00000030	pallete00000002
item00001162	box00000030	pallete00000002
item00001163	box00000030	pallete00000002
item00001164	box00000030	pallete00000002
item00001165	box00000030	pallete00000002
item00001166	box00000030	pallete00000002
item00001167	box00000030	pallete00000002
item00001168	box00000030	pallete00000002
item00001169	box00000030	pallete00000002
item00001170	box00000030	pallete00000002
item00001171	box00000030	pallete00000002
item00001172	box00000030	pallete00000002
item00001173	box00000030	pallete00000002
item00001174	box00000030	pallete00000002
item00001175	box00000030	pallete00000002
item00001176	box00000030	pallete00000002
item00001177	box00000030	pallete00000002
item00001178	box00000030	pallete00000002
item00001179	box00000030	pallete00000002
item00001180	box00000030	pallete00000002
item00001181	box00000030	pallete00000002
item00001182	box00000030	pallete00000002
item00001183	box00000030	pallete00000002
item00001184	box00000030	pallete00000002
item00001185	box00000030	pallete00000002
item00001186	box00000030	pallete00000002
item00001187	box00000030	pallete00000002
item00001188	box00000030	pallete00000002
item00001189	box00000030	pallete00000002
item00001190	box00000030	pallete00000002
item00001191	box00000030	pallete00000002
item00001192	box00000030	pallete00000002
item00001193	box00000030	pallete00000002
item00001194	box00000030	pallete00000002
item00001195	box00000030	pallete00000002
item00001196	box00000030	pallete00000002
item00001197	box00000030	pallete00000002
item00001198	box00000030	pallete00000002
item00001199	box00000030	pallete00000002
item00001200	box00000030	pallete00000002
item00001201	box00000031	pallete00000002
item00001202	box00000031	pallete00000002
item00001203	box00000031	pallete00000002
item00001204	box00000031	pallete00000002
item00001205	box00000031	pallete00000002
item00001206	box00000031	pallete00000002
item00001207	box00000031	pallete00000002
item00001208	box00000031	pallete00000002
item00001209	box00000031	pallete00000002
item00001210	box00000031	pallete00000002
item00001211	box00000031	pallete00000002
item00001212	box00000031	pallete00000002
item00001213	box00000031	pallete00000002
item00001214	box00000031	pallete00000002
item00001215	box00000031	pallete00000002
item00001216	box00000031	pallete00000002
item00001217	box00000031	pallete00000002
item00001218	box00000031	pallete00000002
item00001219	box00000031	pallete00000002
item00001220	box00000031	pallete00000002
item00001221	box00000031	pallete00000002
item00001222	box00000031	pallete00000002
item00001223	box00000031	pallete00000002
item00001224	box00000031	pallete00000002
item00001225	box00000031	pallete00000002
item00001226	box00000031	pallete00000002
item00001227	box00000031	pallete00000002
item00001228	box00000031	pallete00000002
item00001229	box00000031	pallete00000002
item00001230	box00000031	pallete00000002
item00001231	box00000031	pallete00000002
item00001232	box00000031	pallete00000002
item00001233	box00000031	pallete00000002
item00001234	box00000031	pallete00000002
item00001235	box00000031	pallete00000002
item00001236	box00000031	pallete00000002
item00001237	box00000031	pallete00000002
item00001238	box00000031	pallete00000002
item00001239	box00000031	pallete00000002
item00001240	box00000031	pallete00000002
item00001241	box00000032	pallete00000002
item00001242	box00000032	pallete00000002
item00001243	box00000032	pallete00000002
item00001244	box00000032	pallete00000002
item00001245	box00000032	pallete00000002
item00001246	box00000032	pallete00000002
item00001247	box00000032	pallete00000002
item00001248	box00000032	pallete00000002
item00001249	box00000032	pallete00000002
item00001250	box00000032	pallete00000002
item00001251	box00000032	pallete00000002
item00001252	box00000032	pallete00000002
item00001253	box00000032	pallete00000002
item00001254	box00000032	pallete00000002
item00001255	box00000032	pallete00000002
item00001256	box00000032	pallete00000002
item00001257	box00000032	pallete00000002
item00001258	box00000032	pallete00000002
item00001259	box00000032	pallete00000002
item00001260	box00000032	pallete00000002
item00001261	box00000032	pallete00000002
item00001262	box00000032	pallete00000002
item00001263	box00000032	pallete00000002
item00001264	box00000032	pallete00000002
item00001265	box00000032	pallete00000002
item00001266	box00000032	pallete00000002
item00001267	box00000032	pallete00000002
item00001268	box00000032	pallete00000002
item00001269	box00000032	pallete00000002
item00001270	box00000032	pallete00000002
item00001271	box00000032	pallete00000002
item00001272	box00000032	pallete00000002
item00001273	box00000032	pallete00000002
item00001274	box00000032	pallete00000002
item00001275	box00000032	pallete00000002
item00001276	box00000032	pallete00000002
item00001277	box00000032	pallete00000002
item00001278	box00000032	pallete00000002
item00001279	box00000032	pallete00000002
item00001280	box00000032	pallete00000002
item00001281	box00000033	pallete00000002
item00001282	box00000033	pallete00000002
item00001283	box00000033	pallete00000002
item00001284	box00000033	pallete00000002
item00001285	box00000033	pallete00000002
item00001286	box00000033	pallete00000002
item00001287	box00000033	pallete00000002
item00001288	box00000033	pallete00000002
item00001289	box00000033	pallete00000002
item00001290	box00000033	pallete00000002
item00001291	box00000033	pallete00000002
item00001292	box00000033	pallete00000002
item00001293	box00000033	pallete00000002
item00001294	box00000033	pallete00000002
item00001295	box00000033	pallete00000002
item00001296	box00000033	pallete00000002
item00001297	box00000033	pallete00000002
item00001298	box00000033	pallete00000002
item00001299	box00000033	pallete00000002
item00001300	box00000033	pallete00000002
item00001301	box00000033	pallete00000002
item00001302	box00000033	pallete00000002
item00001303	box00000033	pallete00000002
item00001304	box00000033	pallete00000002
item00001305	box00000033	pallete00000002
item00001306	box00000033	pallete00000002
item00001307	box00000033	pallete00000002
item00001308	box00000033	pallete00000002
item00001309	box00000033	pallete00000002
item00001310	box00000033	pallete00000002
item00001311	box00000033	pallete00000002
item00001312	box00000033	pallete00000002
item00001313	box00000033	pallete00000002
item00001314	box00000033	pallete00000002
item00001315	box00000033	pallete00000002
item00001316	box00000033	pallete00000002
item00001317	box00000033	pallete00000002
item00001318	box00000033	pallete00000002
item00001319	box00000033	pallete00000002
item00001320	box00000033	pallete00000002
item00001321	box00000034	pallete00000002
item00001322	box00000034	pallete00000002
item00001323	box00000034	pallete00000002
item00001324	box00000034	pallete00000002
item00001325	box00000034	pallete00000002
item00001326	box00000034	pallete00000002
item00001327	box00000034	pallete00000002
item00001328	box00000034	pallete00000002
item00001329	box00000034	pallete00000002
item00001330	box00000034	pallete00000002
item00001331	box00000034	pallete00000002
item00001332	box00000034	pallete00000002
item00001333	box00000034	pallete00000002
item00001334	box00000034	pallete00000002
item00001335	box00000034	pallete00000002
item00001336	box00000034	pallete00000002
item00001337	box00000034	pallete00000002
item00001338	box00000034	pallete00000002
item00001339	box00000034	pallete00000002
item00001340	box00000034	pallete00000002
item00001341	box00000034	pallete00000002
item00001342	box00000034	pallete00000002
item00001343	box00000034	pallete00000002
item00001344	box00000034	pallete00000002
item00001345	box00000034	pallete00000002
item00001346	box00000034	pallete00000002
item00001347	box00000034	pallete00000002
item00001348	box00000034	pallete00000002
item00001349	box00000034	pallete00000002
item00001350	box00000034	pallete00000002
item00001351	box00000034	pallete00000002
item00001352	box00000034	pallete00000002
item00001353	box00000034	pallete00000002
item00001354	box00000034	pallete00000002
item00001355	box00000034	pallete00000002
item00001356	box00000034	pallete00000002
item00001357	box00000034	pallete00000002
item00001358	box00000034	pallete00000002
item00001359	box00000034	pallete00000002
item00001360	box00000034	pallete00000002
item00001361	box00000035	pallete00000002
item00001362	box00000035	pallete00000002
item00001363	box00000035	pallete00000002
item00001364	box00000035	pallete00000002
item00001365	box00000035	pallete00000002
item00001366	box00000035	pallete00000002
item00001367	box00000035	pallete00000002
item00001368	box00000035	pallete00000002
item00001369	box00000035	pallete00000002
item00001370	box00000035	pallete00000002
item00001371	box00000035	pallete00000002
item00001372	box00000035	pallete00000002
item00001373	box00000035	pallete00000002
item00001374	box00000035	pallete00000002
item00001375	box00000035	pallete00000002
item00001376	box00000035	pallete00000002
item00001377	box00000035	pallete00000002
item00001378	box00000035	pallete00000002
item00001379	box00000035	pallete00000002
item00001380	box00000035	pallete00000002
item00001381	box00000035	pallete00000002
item00001382	box00000035	pallete00000002
item00001383	box00000035	pallete00000002
item00001384	box00000035	pallete00000002
item00001385	box00000035	pallete00000002
item00001386	box00000035	pallete00000002
item00001387	box00000035	pallete00000002
item00001388	box00000035	pallete00000002
item00001389	box00000035	pallete00000002
item00001390	box00000035	pallete00000002
item00001391	box00000035	pallete00000002
item00001392	box00000035	pallete00000002
item00001393	box00000035	pallete00000002
item00001394	box00000035	pallete00000002
item00001395	box00000035	pallete00000002
item00001396	box00000035	pallete00000002
item00001397	box00000035	pallete00000002
item00001398	box00000035	pallete00000002
item00001399	box00000035	pallete00000002
item00001400	box00000035	pallete00000002
item00001401	box00000036	pallete00000002
item00001402	box00000036	pallete00000002
item00001403	box00000036	pallete00000002
item00001404	box00000036	pallete00000002
item00001405	box00000036	pallete00000002
item00001406	box00000036	pallete00000002
item00001407	box00000036	pallete00000002
item00001408	box00000036	pallete00000002
item00001409	box00000036	pallete00000002
item00001410	box00000036	pallete00000002
item00001411	box00000036	pallete00000002
item00001412	box00000036	pallete00000002
item00001413	box00000036	pallete00000002
item00001414	box00000036	pallete00000002
item00001415	box00000036	pallete00000002
item00001416	box00000036	pallete00000002
item00001417	box00000036	pallete00000002
item00001418	box00000036	pallete00000002
item00001419	box00000036	pallete00000002
item00001420	box00000036	pallete00000002
item00001421	box00000036	pallete00000002
item00001422	box00000036	pallete00000002
item00001423	box00000036	pallete00000002
item00001424	box00000036	pallete00000002
item00001425	box00000036	pallete00000002
item00001426	box00000036	pallete00000002
item00001427	box00000036	pallete00000002
item00001428	box00000036	pallete00000002
item00001429	box00000036	pallete00000002
item00001430	box00000036	pallete00000002
item00001431	box00000036	pallete00000002
item00001432	box00000036	pallete00000002
item00001433	box00000036	pallete00000002
item00001434	box00000036	pallete00000002
item00001435	box00000036	pallete00000002
item00001436	box00000036	pallete00000002
item00001437	box00000036	pallete00000002
item00001438	box00000036	pallete00000002
item00001439	box00000036	pallete00000002
item00001440	box00000036	pallete00000002
item00001441	box00000037	pallete00000002
item00001442	box00000037	pallete00000002
item00001443	box00000037	pallete00000002
item00001444	box00000037	pallete00000002
item00001445	box00000037	pallete00000002
item00001446	box00000037	pallete00000002
item00001447	box00000037	pallete00000002
item00001448	box00000037	pallete00000002
item00001449	box00000037	pallete00000002
item00001450	box00000037	pallete00000002
item00001451	box00000037	pallete00000002
item00001452	box00000037	pallete00000002
item00001453	box00000037	pallete00000002
item00001454	box00000037	pallete00000002
item00001455	box00000037	pallete00000002
item00001456	box00000037	pallete00000002
item00001457	box00000037	pallete00000002
item00001458	box00000037	pallete00000002
item00001459	box00000037	pallete00000002
item00001460	box00000037	pallete00000002
item00001461	box00000037	pallete00000002
item00001462	box00000037	pallete00000002
item00001463	box00000037	pallete00000002
item00001464	box00000037	pallete00000002
item00001465	box00000037	pallete00000002
item00001466	box00000037	pallete00000002
item00001467	box00000037	pallete00000002
item00001468	box00000037	pallete00000002
item00001469	box00000037	pallete00000002
item00001470	box00000037	pallete00000002
item00001471	box00000037	pallete00000002
item00001472	box00000037	pallete00000002
item00001473	box00000037	pallete00000002
item00001474	box00000037	pallete00000002
item00001475	box00000037	pallete00000002
item00001476	box00000037	pallete00000002
item00001477	box00000037	pallete00000002
item00001478	box00000037	pallete00000002
item00001479	box00000037	pallete00000002
item00001480	box00000037	pallete00000002
item00001481	box00000038	pallete00000002
item00001482	box00000038	pallete00000002
item00001483	box00000038	pallete00000002
item00001484	box00000038	pallete00000002
item00001485	box00000038	pallete00000002
item00001486	box00000038	pallete00000002
item00001487	box00000038	pallete00000002
item00001488	box00000038	pallete00000002
item00001489	box00000038	pallete00000002
item00001490	box00000038	pallete00000002
item00001491	box00000038	pallete00000002
item00001492	box00000038	pallete00000002
item00001493	box00000038	pallete00000002
item00001494	box00000038	pallete00000002
item00001495	box00000038	pallete00000002
item00001496	box00000038	pallete00000002
item00001497	box00000038	pallete00000002
item00001498	box00000038	pallete00000002
item00001499	box00000038	pallete00000002
item00001500	box00000038	pallete00000002
item00001501	box00000038	pallete00000002
item00001502	box00000038	pallete00000002
item00001503	box00000038	pallete00000002
item00001504	box00000038	pallete00000002
item00001505	box00000038	pallete00000002
item00001506	box00000038	pallete00000002
item00001507	box00000038	pallete00000002
item00001508	box00000038	pallete00000002
item00001509	box00000038	pallete00000002
item00001510	box00000038	pallete00000002
item00001511	box00000038	pallete00000002
item00001512	box00000038	pallete00000002
item00001513	box00000038	pallete00000002
item00001514	box00000038	pallete00000002
item00001515	box00000038	pallete00000002
item00001516	box00000038	pallete00000002
item00001517	box00000038	pallete00000002
item00001518	box00000038	pallete00000002
item00001519	box00000038	pallete00000002
item00001520	box00000038	pallete00000002
item00001521	box00000039	pallete00000002
item00001522	box00000039	pallete00000002
item00001523	box00000039	pallete00000002
item00001524	box00000039	pallete00000002
item00001525	box00000039	pallete00000002
item00001526	box00000039	pallete00000002
item00001527	box00000039	pallete00000002
item00001528	box00000039	pallete00000002
item00001529	box00000039	pallete00000002
item00001530	box00000039	pallete00000002
item00001531	box00000039	pallete00000002
item00001532	box00000039	pallete00000002
item00001533	box00000039	pallete00000002
item00001534	box00000039	pallete00000002
item00001535	box00000039	pallete00000002
item00001536	box00000039	pallete00000002
item00001537	box00000039	pallete00000002
item00001538	box00000039	pallete00000002
item00001539	box00000039	pallete00000002
item00001540	box00000039	pallete00000002
item00001541	box00000039	pallete00000002
item00001542	box00000039	pallete00000002
item00001543	box00000039	pallete00000002
item00001544	box00000039	pallete00000002
item00001545	box00000039	pallete00000002
item00001546	box00000039	pallete00000002
item00001547	box00000039	pallete00000002
item00001548	box00000039	pallete00000002
item00001549	box00000039	pallete00000002
item00001550	box00000039	pallete00000002
item00001551	box00000039	pallete00000002
item00001552	box00000039	pallete00000002
item00001553	box00000039	pallete00000002
item00001554	box00000039	pallete00000002
item00001555	box00000039	pallete00000002
item00001556	box00000039	pallete00000002
item00001557	box00000039	pallete00000002
item00001558	box00000039	pallete00000002
item00001559	box00000039	pallete00000002
item00001560	box00000039	pallete00000002
item00001561	box00000040	pallete00000002
item00001562	box00000040	pallete00000002
item00001563	box00000040	pallete00000002
item00001564	box00000040	pallete00000002
item00001565	box00000040	pallete00000002
item00001566	box00000040	pallete00000002
item00001567	box00000040	pallete00000002
item00001568	box00000040	pallete00000002
item00001569	box00000040	pallete00000002
item00001570	box00000040	pallete00000002
item00001571	box00000040	pallete00000002
item00001572	box00000040	pallete00000002
item00001573	box00000040	pallete00000002
item00001574	box00000040	pallete00000002
item00001575	box00000040	pallete00000002
item00001576	box00000040	pallete00000002
item00001577	box00000040	pallete00000002
item00001578	box00000040	pallete00000002
item00001579	box00000040	pallete00000002
item00001580	box00000040	pallete00000002
item00001581	box00000040	pallete00000002
item00001582	box00000040	pallete00000002
item00001583	box00000040	pallete00000002
item00001584	box00000040	pallete00000002
item00001585	box00000040	pallete00000002
item00001586	box00000040	pallete00000002
item00001587	box00000040	pallete00000002
item00001588	box00000040	pallete00000002
item00001589	box00000040	pallete00000002
item00001590	box00000040	pallete00000002
item00001591	box00000040	pallete00000002
item00001592	box00000040	pallete00000002
item00001593	box00000040	pallete00000002
item00001594	box00000040	pallete00000002
item00001595	box00000040	pallete00000002
item00001596	box00000040	pallete00000002
item00001597	box00000040	pallete00000002
item00001598	box00000040	pallete00000002
item00001599	box00000040	pallete00000002
item00001600	box00000040	pallete00000002
item00001601	box00000041	pallete00000003
item00001602	box00000041	pallete00000003
item00001603	box00000041	pallete00000003
item00001604	box00000041	pallete00000003
item00001605	box00000041	pallete00000003
item00001606	box00000041	pallete00000003
item00001607	box00000041	pallete00000003
item00001608	box00000041	pallete00000003
item00001609	box00000041	pallete00000003
item00001610	box00000041	pallete00000003
item00001611	box00000041	pallete00000003
item00001612	box00000041	pallete00000003
item00001613	box00000041	pallete00000003
item00001614	box00000041	pallete00000003
item00001615	box00000041	pallete00000003
item00001616	box00000041	pallete00000003
item00001617	box00000041	pallete00000003
item00001618	box00000041	pallete00000003
item00001619	box00000041	pallete00000003
item00001620	box00000041	pallete00000003
item00001621	box00000041	pallete00000003
item00001622	box00000041	pallete00000003
item00001623	box00000041	pallete00000003
item00001624	box00000041	pallete00000003
item00001625	box00000041	pallete00000003
item00001626	box00000041	pallete00000003
item00001627	box00000041	pallete00000003
item00001628	box00000041	pallete00000003
item00001629	box00000041	pallete00000003
item00001630	box00000041	pallete00000003
item00001631	box00000041	pallete00000003
item00001632	box00000041	pallete00000003
item00001633	box00000041	pallete00000003
item00001634	box00000041	pallete00000003
item00001635	box00000041	pallete00000003
item00001636	box00000041	pallete00000003
item00001637	box00000041	pallete00000003
item00001638	box00000041	pallete00000003
item00001639	box00000041	pallete00000003
item00001640	box00000041	pallete00000003
item00001641	box00000042	pallete00000003
item00001642	box00000042	pallete00000003
item00001643	box00000042	pallete00000003
item00001644	box00000042	pallete00000003
